ZIP,Condo
53004,266265
53012,312616
53022,233768
53024,277479
53027,294785
53029,431506
53037,275020
53040,291081
53045,378120
53046,557802
53051,327723
53066,403386
53072,316562
53074,296148
53080,258098
53081,225727
53083,231679
53085,268877
53086,253871
53089,365851
53090,232967
53092,426416
53095,240275
53105,252649
53110,230355
53115,218119
53120,269716
53121,261116
53122,313732
53125,532872
53128,218462
53132,279088
53140,245300
53142,202892
53144,255549
53146,332891
53147,303426
53149,340061
53150,332079
53151,279956
53154,243660
53158,251513
53172,215775
53177,195472
53185,324240
53186,240589
53188,311202
53189,305229
53190,250500
53191,372803
53202,349331
53203,369599
53204,373300
53207,258391
53209,125902
53211,274637
53212,284402
53214,160380
53217,225567
53218,52481
53219,140992
53220,203583
53221,192890
53222,104069
53223,94760
53224,79637
53225,82976
53227,190481
53228,250994
53235,284986
53402,283876
53406,203872
53511,237742
53523,282732
53527,294922
53532,385216
53534,221053
53538,171179
53545,200617
53546,243316
53548,187416
53555,435386
53558,396972
53561,309442
53562,312826
53563,263884
53575,308917
53578,322623
53589,265820
53590,300530
53593,353060
53597,330121
53598,275012
53703,340745
53704,208895
53705,254054
53711,330704
53713,198129
53714,241817
53715,341455
53716,310382
53717,324922
53718,273726
53719,262474
53901,253637
53913,236558
53965,264462
54016,240436
54022,264840
54115,299907
54173,198528
54209,269074
54210,381790
54212,458678
54220,245676
54234,331658
54235,195916
54301,257651
54302,194239
54311,240222
54313,241034
54401,217696
54476,195166
54481,211152
54487,166852
54501,200744
54521,304096
54548,330287
54558,324628
54568,181974
54601,266947
54603,247741
54650,307590
54701,249570
54703,264499
54729,220733
54751,228732
54817,268412
54843,271444
54901,224102
54902,159702
54904,268138
54911,243288
54913,352927
54914,252438
54915,294922
54935,233495
54941,398304
54952,232485
54956,245416
54986,253656
