ZIP,Price
05906,179724
05903,200353
05837,207588
05858,215539
05847,217062
05907,218797
05866,224471
05846,226072
05830,226367
05860,228606
05150,231890
05201,233518
05822,234236
05748,234917
05824,235936
05765,237108
05743,237734
05476,238947
05156,239046
05101,242349
05843,243707
05820,244538
05086,249801
05855,250855
05350,250872
05081,251355
05777,253706
05747,256132
05701,258722
05076,259359
05069,259669
05845,260961
05261,263229
05764,264088
05842,264385
05874,265240
05851,265546
05744,266833
05654,266870
05829,267338
05819,267472
05872,267744
05652,271164
05649,274054
05839,274577
05775,274699
05871,276608
05681,278870
05158,279318
05079,279783
05040,281209
05154,281809
05736,282023
05038,282821
05857,283030
05675,286101
05352,286634
05033,287495
05905,288556
05836,289144
05257,290458
05039,296541
05759,297482
05641,297826
05679,298116
05867,298647
05051,298758
05046,301130
05450,301509
05653,303625
05853,303812
05089,304599
05826,304785
05733,304914
05735,304973
05663,305736
05442,306270
05669,306332
05492,306791
05151,308561
05353,310064
05774,310572
05252,310775
05875,311035
05658,311066
05471,311378
05763,311381
05773,312862
05060,312967
05459,313460
05042,314526
05457,315132
05440,315362
05757,316068
05441,319851
05859,320693
05821,321413
05732,323054
05358,323419
05483,326399
05776,328370
05647,328841
05656,330769
05738,331729
05828,331885
05342,335882
05361,336605
05680,337319
05772,338656
05767,338716
05077,339690
05488,340189
05262,342938
05354,343108
05873,343602
05739,344217
05301,347776
05355,348538
05143,349580
05345,349821
05760,350277
05737,351090
05058,351897
05153,352115
05061,352615
05766,354170
05359,354436
05448,356633
05346,358025
05478,358586
05032,358675
05778,359666
05655,362239
05068,362574
05734,364298
05464,366290
05250,366354
05827,366687
05065,368711
05769,369581
05142,369608
05351,369798
05667,370430
05362,371242
05037,372330
05742,372703
05487,372761
05650,374640
05758,378426
05761,378650
05036,379085
05035,383753
05045,384677
05770,384967
05682,388262
05001,388408
05075,394687
05443,397921
05463,399646
05343,400426
05491,407612
05444,407675
05455,409094
05602,410765
05404,412271
05648,414416
05341,414735
05072,416675
05034,420146
05146,420538
05062,425276
05762,425992
05832,428807
05730,429755
05651,430241
05070,433468
05363,434891
05043,437194
05661,437976
05468,438376
05472,443385
05148,443641
05462,446341
05454,451324
05753,451486
05408,453385
05751,458081
05446,458989
05676,461345
05048,462218
05674,467706
05403,474616
05452,475767
05473,482711
05456,485923
05356,487399
05056,489008
05660,490726
05253,490947
05458,491176
05059,491928
05494,512614
05152,516629
05474,530231
05673,536727
05477,539390
05461,540416
05465,541948
05161,544068
05495,548332
05155,549320
05360,556515
05401,561001
05489,565863
05255,568478
05841,570805
05149,594857
05677,601401
05486,622719
05340,673038
05482,677802
05053,695738
05091,703590
05055,750900
05251,764344
05067,767693
05445,826777
05672,942691
05071,967805
